Singular	Plural	S Count	P Count	P %
foreigner	foreigners	4	11	0.733333333333
tribe	tribes	4	11	0.733333333333
banker	bankers	4	11	0.733333333333
prisoner	prisoners	7	19	0.730769230769
toe	toes	7	19	0.730769230769
limitation	limitations	10	27	0.72972972973
preserve	preserves	3	8	0.727272727273
worker	workers	30	80	0.727272727273
potentiality	potentialities	3	8	0.727272727273
ruler	rulers	3	8	0.727272727273
ally	allies	9	24	0.727272727273
supporter	supporters	3	8	0.727272727273
footstep	footsteps	3	8	0.727272727273
outsider	outsiders	3	8	0.727272727273
liberal	liberals	8	21	0.724137931034
visitor	visitors	13	34	0.723404255319
burn	burns	5	13	0.722222222222
asset	assets	5	13	0.722222222222
sport	sports	17	44	0.72131147541
feature	features	29	75	0.721153846154
channel	channels	9	23	0.71875
colleague	colleagues	9	23	0.71875
institution	institutions	38	96	0.716417910448
teen	teens	2	5	0.714285714286
fin	fins	2	5	0.714285714286
catkin	catkins	2	5	0.714285714286
teenager	teenagers	2	5	0.714285714286
brake	brakes	2	5	0.714285714286
pillar	pillars	2	5	0.714285714286
happening	happenings	2	5	0.714285714286
crater	craters	2	5	0.714285714286
attribute	attributes	4	10	0.714285714286
gasp	gasps	2	5	0.714285714286
coordinate	coordinates	2	5	0.714285714286
favorite	favorites	4	10	0.714285714286
ad	ads	4	10	0.714285714286
contour	contours	6	15	0.714285714286
commune	communes	2	5	0.714285714286
chunk	chunks	2	5	0.714285714286
comrade	comrades	4	10	0.714285714286
stump	stumps	2	5	0.714285714286
overall	overalls	2	5	0.714285714286
buyer	buyers	2	5	0.714285714286
appointee	appointees	2	5	0.714285714286
immigrant	immigrants	4	10	0.714285714286
resident	residents	8	20	0.714285714286
biscuit	biscuits	2	5	0.714285714286
bud	buds	2	5	0.714285714286
standard	standards	29	72	0.712871287129
variable	variables	11	26	0.702702702703
member	members	133	312	0.701123595506
maneuver	maneuvers	3	7	0.7
resistor	resistors	3	7	0.7
sock	socks	3	7	0.7
rupee	rupees	6	14	0.7
trouser	trousers	3	7	0.7
concession	concessions	3	7	0.7
blossom	blossoms	3	7	0.7
slipper	slippers	3	7	0.7
landmark	landmarks	3	7	0.7
ray	rays	3	7	0.7
heel	heels	9	21	0.7
legislator	legislators	7	16	0.695652173913
chore	chores	7	16	0.695652173913
scholar	scholars	11	25	0.694444444444
dollar	dollars	43	97	0.692857142857
patron	patrons	4	9	0.692307692308
bronchiole	bronchioles	4	9	0.692307692308
bean	beans	4	9	0.692307692308
occupant	occupants	4	9	0.692307692308
eyebrow	eyebrows	4	9	0.692307692308
inch	inches	39	86	0.688
implication	implications	10	22	0.6875
component	components	25	54	0.683544303797
ton	tons	13	28	0.682926829268
lyric	lyrics	7	15	0.681818181818
fund	funds	42	90	0.681818181818
characteristic	characteristics	24	51	0.68
boot	boots	9	19	0.678571428571
term	terms	76	157	0.673819742489
condition	conditions	88	179	0.670411985019
pheasant	pheasants	1	2	0.666666666667
appropriation	appropriations	4	8	0.666666666667
specification	specifications	3	6	0.666666666667
filbert	filberts	1	2	0.666666666667
monosyllable	monosyllables	1	2	0.666666666667
strap	straps	1	2	0.666666666667
spoke	spokes	1	2	0.666666666667
bootlegger	bootleggers	1	2	0.666666666667
spike	spikes	1	2	0.666666666667
phony	phonies	1	2	0.666666666667
eclipse	eclipses	2	4	0.666666666667
grenade	grenades	3	6	0.666666666667
dolphin	dolphins	1	2	0.666666666667
liter	liters	1	2	0.666666666667
third	thirds	2	4	0.666666666667
ligand	ligands	1	2	0.666666666667
gutter	gutters	1	2	0.666666666667
fragment	fragments	5	10	0.666666666667
interrelationship	interrelationships	1	2	0.666666666667
louse	lice	1	2	0.666666666667
steward	stewards	1	2	0.666666666667
cuff	cuffs	1	2	0.666666666667
tavern	taverns	2	4	0.666666666667
bracket	brackets	1	2	0.666666666667
constituent	constituents	5	10	0.666666666667
endowment	endowments	2	4	0.666666666667
rich	riches	1	2	0.666666666667
herpetologist	herpetologists	1	2	0.666666666667
ghoul	ghouls	1	2	0.666666666667
nun	nuns	2	4	0.666666666667
mug	mugs	1	2	0.666666666667
pirate	pirates	2	4	0.666666666667
adapter	adapters	1	2	0.666666666667
escapade	escapades	1	2	0.666666666667
obscenity	obscenities	1	2	0.666666666667
adverb	adverbs	1	2	0.666666666667
motorist	motorists	2	4	0.666666666667
trustee	trustees	7	14	0.666666666667
plaque	plaques	2	4	0.666666666667
transformer	transformers	1	2	0.666666666667
duffer	duffers	1	2	0.666666666667
cherry	cherries	1	2	0.666666666667
courtier	courtiers	2	4	0.666666666667
disadvantage	disadvantages	4	8	0.666666666667
banshee	banshees	1	2	0.666666666667
billboard	billboards	1	2	0.666666666667
skylight	skylights	1	2	0.666666666667
binder	binders	1	2	0.666666666667
predisposition	predispositions	4	8	0.666666666667
craftsman	craftsmen	2	4	0.666666666667
loin	loins	1	2	0.666666666667
personage	personages	1	2	0.666666666667
marking	markings	1	2	0.666666666667
improvisation	improvisations	1	2	0.666666666667
firecracker	firecrackers	1	2	0.666666666667
adjective	adjectives	2	4	0.666666666667
brothel	brothels	1	2	0.666666666667
lodging	lodgings	1	2	0.666666666667
crackpot	crackpots	1	2	0.666666666667
survivalist	survivalists	1	2	0.666666666667
stain	stains	4	8	0.666666666667
purge	purges	1	2	0.666666666667
pink	pinks	1	2	0.666666666667
drapery	draperies	2	4	0.666666666667
noun	nouns	1	2	0.666666666667
townsman	townsmen	1	2	0.666666666667
monitor	monitors	1	2	0.666666666667
generalist	generalists	1	2	0.666666666667
tonic	tonics	1	2	0.666666666667
promoter	promoters	1	2	0.666666666667
sensor	sensors	3	6	0.666666666667
gram	grams	9	18	0.666666666667
lag	lags	1	2	0.666666666667
marina	marinas	3	6	0.666666666667
bite	bites	3	6	0.666666666667
white	whites	8	16	0.666666666667
hue	hues	1	2	0.666666666667
hub	hubs	1	2	0.666666666667
orgy	orgies	1	2	0.666666666667
overhang	overhangs	1	2	0.666666666667
irregularity	irregularities	4	8	0.666666666667
adviser	advisers	6	12	0.666666666667
treasure	treasures	3	6	0.666666666667
prime	primes	1	2	0.666666666667
gangster	gangsters	2	4	0.666666666667
diver	divers	1	2	0.666666666667
loudspeaker	loudspeakers	1	2	0.666666666667
dormitory	dormitories	2	4	0.666666666667
steroid	steroids	1	2	0.666666666667
comet	comets	1	2	0.666666666667
riddle	riddles	1	2	0.666666666667
dislocation	dislocations	1	2	0.666666666667
reflex	reflexes	3	6	0.666666666667
helmet	helmets	1	2	0.666666666667
creeper	creepers	1	2	0.666666666667
dimension	dimensions	14	28	0.666666666667
flourish	flourishes	1	2	0.666666666667
proponent	proponents	2	4	0.666666666667
puddle	puddles	1	2	0.666666666667
jowl	jowls	2	4	0.666666666667
fill-in	fill-ins	1	2	0.666666666667
conqueror	conquerors	1	2	0.666666666667
lapel	lapels	1	2	0.666666666667
registry	registries	2	4	0.666666666667
infestation	infestations	2	4	0.666666666667
rogue	rogues	1	2	0.666666666667
varnish	varnishes	1	2	0.666666666667
disclosure	disclosures	2	4	0.666666666667
siren	sirens	1	2	0.666666666667
gash	gashes	1	2	0.666666666667
catalog	catalogs	1	2	0.666666666667
skipper	skippers	1	2	0.666666666667
endearment	endearments	1	2	0.666666666667
sailor	sailors	4	8	0.666666666667
perturbation	perturbations	1	2	0.666666666667
consonant	consonants	2	4	0.666666666667
technician	technicians	5	10	0.666666666667
cleaner	cleaners	4	8	0.666666666667
draper	drapers	1	2	0.666666666667
swelling	swellings	1	2	0.666666666667
defender	defenders	3	6	0.666666666667
fatality	fatalities	1	2	0.666666666667
clove	cloves	1	2	0.666666666667
barricade	barricades	2	4	0.666666666667
moth	moths	1	2	0.666666666667
vow	vows	2	4	0.666666666667
honeybee	honeybees	2	4	0.666666666667
incongruity	incongruities	1	2	0.666666666667
loyalist	loyalists	1	2	0.666666666667
lark	larks	1	2	0.666666666667
ellipsis	ellipses	1	2	0.666666666667
booklet	booklets	1	2	0.666666666667
additive	additives	2	4	0.666666666667
rut	ruts	1	2	0.666666666667
sacrament	sacraments	1	2	0.666666666667
repulsion	repulsions	1	2	0.666666666667
vine	vines	4	8	0.666666666667
insecticide	insecticides	1	2	0.666666666667
lament	laments	1	2	0.666666666667
prerogative	prerogatives	1	2	0.666666666667
vendor	vendors	1	2	0.666666666667
antecedent	antecedents	1	2	0.666666666667
feud	feuds	1	2	0.666666666667
laurel	laurels	1	2	0.666666666667
surfactant	surfactants	1	2	0.666666666667
directive	directives	2	4	0.666666666667
schoolmate	schoolmates	1	2	0.666666666667
layman	laymen	3	6	0.666666666667
duck	ducks	2	4	0.666666666667
deltoid	deltoids	1	2	0.666666666667
imperfection	imperfections	1	2	0.666666666667
youngster	youngsters	8	16	0.666666666667
sportsman	sportsmen	3	6	0.666666666667
weave	weaves	1	2	0.666666666667
giant	giants	6	12	0.666666666667
frank	franks	4	8	0.666666666667
burglar	burglars	1	2	0.666666666667
qualification	qualifications	8	16	0.666666666667
lobule	lobules	1	2	0.666666666667
malady	maladies	1	2	0.666666666667
tidbit	tidbits	1	2	0.666666666667
newlywed	newlyweds	1	2	0.666666666667
dependent	dependents	1	2	0.666666666667
bough	boughs	2	4	0.666666666667
gunner	gunners	1	2	0.666666666667
preliminary	preliminaries	1	2	0.666666666667
urn	urns	1	2	0.666666666667
thicket	thickets	1	2	0.666666666667
listener	listeners	10	20	0.666666666667
grad	grads	1	2	0.666666666667
undergraduate	undergraduates	4	8	0.666666666667
determinant	determinants	1	2	0.666666666667
speculator	speculators	1	2	0.666666666667
thug	thugs	1	2	0.666666666667
eccentric	eccentrics	1	2	0.666666666667
bibliography	bibliographies	1	2	0.666666666667
sedan	sedans	2	4	0.666666666667
descendant	descendants	2	4	0.666666666667
dresser	dressers	1	2	0.666666666667
henchman	henchmen	1	2	0.666666666667
peptide	peptides	1	2	0.666666666667
evocation	evocations	1	2	0.666666666667
hitter	hitters	2	4	0.666666666667
particle	particles	21	42	0.666666666667
silo	silos	1	2	0.666666666667
tick	ticks	1	2	0.666666666667
tentacle	tentacles	1	2	0.666666666667
element	elements	52	103	0.664516129032
yard	yards	33	63	0.65625
barrier	barriers	9	17	0.653846153846
affair	affairs	33	62	0.652631578947
denomination	denominations	8	15	0.652173913043
student	students	109	204	0.651757188498
fabric	fabrics	15	28	0.651162790698
rocket	rockets	7	13	0.65
solid	solids	7	13	0.65
expert	experts	19	35	0.648148148148
bird	birds	25	46	0.647887323944
leaf	leaves	12	22	0.647058823529
commissioner	commissioners	6	11	0.647058823529
towel	towels	6	11	0.647058823529
insect	insects	12	22	0.647058823529
enzyme	enzymes	6	11	0.647058823529
meter	meters	6	11	0.647058823529
taxpayer	taxpayers	11	20	0.645161290323
theologian	theologians	5	9	0.642857142857
classic	classics	5	9	0.642857142857
costume	costumes	10	18	0.642857142857
tenant	tenants	5	9	0.642857142857
vitamin	vitamins	5	9	0.642857142857
ion	ions	5	9	0.642857142857
scientist	scientists	17	30	0.63829787234
verb	verbs	4	7	0.636363636364
toy	toys	4	7	0.636363636364
headline	headlines	4	7	0.636363636364
generalization	generalizations	4	7	0.636363636364
receipt	receipts	4	7	0.636363636364
gadget	gadgets	4	7	0.636363636364
drawing	drawings	12	21	0.636363636364
manufacturer	manufacturers	23	40	0.634920634921
performer	performers	7	12	0.631578947368
custom	customs	10	17	0.62962962963
tree	trees	56	95	0.629139072848
musician	musicians	23	39	0.629032258065
pound	pounds	26	44	0.628571428571
technique	techniques	58	98	0.628205128205
fee	fees	16	27	0.627906976744
reporter	reporters	19	32	0.627450980392
guest	guests	34	57	0.626373626374
flare	flares	3	5	0.625
nerve	nerves	12	20	0.625
grape	grapes	3	5	0.625
ox	oxen	6	10	0.625
injunction	injunctions	3	5	0.625
lobe	lobes	3	5	0.625
professional	professionals	6	10	0.625
forecast	forecasts	3	5	0.625
aberration	aberrations	3	5	0.625
senator	senators	3	5	0.625
interface	interfaces	3	5	0.625
orchard	orchards	3	5	0.625
turnpike	turnpikes	6	10	0.625
compound	compounds	9	15	0.625
contingency	contingencies	3	5	0.625
cartoon	cartoons	3	5	0.625
try	tries	3	5	0.625
defendant	defendants	6	10	0.625
trait	traits	3	5	0.625
walnut	walnuts	3	5	0.625
allusion	allusions	3	5	0.625
pier	piers	3	5	0.625
rattlesnake	rattlesnakes	3	5	0.625
finger	fingers	40	66	0.622641509434
child	children	210	342	0.619565217391
singer	singers	8	13	0.619047619048
poem	poems	48	77	0.616
witch	witches	5	8	0.615384615385
oyster	oysters	5	8	0.615384615385
appliance	appliances	5	8	0.615384615385
salesman	salesmen	12	19	0.612903225806
vehicle	vehicles	33	52	0.611764705882
peasant	peasants	7	11	0.611111111111
capability	capabilities	14	22	0.611111111111
allowance	allowances	16	25	0.609756097561
star	stars	16	25	0.609756097561
fighter	fighters	9	14	0.608695652174
drug	drugs	18	28	0.608695652174
merchant	merchants	11	17	0.607142857143
leader	leaders	69	106	0.605714285714
progression	progressions	2	3	0.6
racketeer	racketeers	2	3	0.6
wing	wings	16	24	0.6
user	users	4	6	0.6
bidder	bidders	2	3	0.6
divinity	divinities	2	3	0.6
vegetable	vegetables	10	15	0.6
rodent	rodents	2	3	0.6
ingredient	ingredients	6	9	0.6
shaker	shakers	2	3	0.6
passenger	passengers	14	21	0.6
pore	pores	2	3	0.6
entertainer	entertainers	2	3	0.6
madman	madmen	2	3	0.6
serpent	serpents	2	3	0.6
pageant	pageants	2	3	0.6
cutter	cutters	4	6	0.6
ailment	ailments	4	6	0.6
molecule	molecules	6	9	0.6
rating	ratings	6	9	0.6
hydride	hydrides	2	3	0.6
enthusiast	enthusiasts	2	3	0.6
conformist	conformists	2	3	0.6
participant	participants	4	6	0.6
spice	spices	2	3	0.6
measurement	measurements	32	48	0.6
peacock	peacocks	2	3	0.6
fat	fats	12	18	0.6
vista	vistas	2	3	0.6
canon	canons	4	6	0.6
paw	paws	2	3	0.6
redcoat	redcoats	6	9	0.6
outbreak	outbreaks	2	3	0.6
apology	apologies	2	3	0.6
advertisement	advertisements	2	3	0.6
tangent	tangents	4	6	0.6
relation	relations	62	93	0.6
demon	demons	4	6	0.6
bristle	bristles	2	3	0.6
maker	makers	12	18	0.6
rifleman	riflemen	4	6	0.6
byproduct	byproducts	2	3	0.6
sneaker	sneakers	2	3	0.6
caller	callers	2	3	0.6
highlight	highlights	2	3	0.6
groove	grooves	2	3	0.6
alien	aliens	2	3	0.6
pledge	pledges	2	3	0.6
geologist	geologists	2	3	0.6
customer	customers	26	39	0.6
chop	chops	2	3	0.6
alloy	alloys	2	3	0.6
wavelength	wavelengths	4	6	0.6
manifestation	manifestations	6	9	0.6
bee	bees	10	15	0.6
terminus	termini	2	3	0.6
omission	omissions	2	3	0.6
photographer	photographers	4	6	0.6
azalea	azaleas	2	3	0.6
leak	leaks	2	3	0.6
nightclub	nightclubs	2	3	0.6
goose	geese	2	3	0.6
pansy	pansies	6	9	0.6
slave	slaves	30	44	0.594594594595
politician	politicians	13	19	0.59375
year	years	647	942	0.592825676526
expectation	expectations	11	16	0.592592592593
document	documents	11	16	0.592592592593
weapon	weapons	42	61	0.592233009709
panel	panels	31	45	0.592105263158
soldier	soldiers	38	55	0.591397849462
month	months	130	188	0.591194968553
deputy	deputies	9	13	0.590909090909
player	players	18	26	0.590909090909
elephant	elephants	7	10	0.588235294118
export	exports	7	10	0.588235294118
accomplishment	accomplishments	7	10	0.588235294118
factor	factors	71	101	0.587209302326
tank	tanks	12	17	0.586206896552
remark	remarks	29	41	0.585714285714
frequency	frequencies	22	31	0.584905660377
warrior	warriors	5	7	0.583333333333
fisherman	fishermen	5	7	0.583333333333
ax	axes	5	7	0.583333333333
paragraph	paragraphs	10	14	0.583333333333
conjugate	conjugates	10	14	0.583333333333
novelty	novelties	5	7	0.583333333333
hit	hits	10	14	0.583333333333
drum	drums	10	14	0.583333333333
interval	intervals	18	25	0.581395348837
observer	observers	13	18	0.58064516129
rebel	rebels	8	11	0.578947368421
carrier	carriers	8	11	0.578947368421
revenue	revenues	19	26	0.577777777778
worry	worries	11	15	0.576923076923
fan	fans	14	19	0.575757575758
aspect	aspects	47	63	0.572727272727
decree	decrees	3	4	0.571428571429
researcher	researchers	3	4	0.571428571429
hike	hikes	3	4	0.571428571429
spade	spades	3	4	0.571428571429
observation	observations	27	36	0.571428571429
active	actives	6	8	0.571428571429
cape	capes	3	4	0.571428571429
intellectual	intellectuals	9	12	0.571428571429
guardian	guardians	3	4	0.571428571429
congressman	congressmen	6	8	0.571428571429
stitch	stitches	3	4	0.571428571429
national	nationals	3	4	0.571428571429
specialty	specialties	3	4	0.571428571429
installation	installations	12	16	0.571428571429
being	beings	27	36	0.571428571429
meteorite	meteorites	6	8	0.571428571429
classmate	classmates	3	4	0.571428571429
spouse	spouses	3	4	0.571428571429
dish	dishes	15	20	0.571428571429
dividend	dividends	6	8	0.571428571429
creature	creatures	15	20	0.571428571429
speculation	speculations	3	4	0.571428571429
locale	locales	3	4	0.571428571429
compliment	compliments	3	4	0.571428571429
stamp	stamps	3	4	0.571428571429
poster	posters	3	4	0.571428571429
supervisor	supervisors	3	4	0.571428571429
conservative	conservatives	3	4	0.571428571429
secant	secants	12	16	0.571428571429
convert	converts	3	4	0.571428571429
propagandist	propagandists	3	4	0.571428571429
inflection	inflections	3	4	0.571428571429
villain	villains	3	4	0.571428571429
gunman	gunmen	3	4	0.571428571429
lung	lungs	15	20	0.571428571429
valve	valves	3	4	0.571428571429
echo	echoes	6	8	0.571428571429
nut	nuts	15	20	0.571428571429
medal	medals	3	4	0.571428571429
terminal	terminals	3	4	0.571428571429
rite	rites	3	4	0.571428571429
antagonist	antagonists	3	4	0.571428571429
sediment	sediments	3	4	0.571428571429
prolusion	prolusions	3	4	0.571428571429
spectator	spectators	9	12	0.571428571429
watershed	watersheds	3	4	0.571428571429
plastic	plastics	21	28	0.571428571429
bug	bugs	3	4	0.571428571429
meteor	meteors	3	4	0.571428571429
cloud	clouds	25	33	0.568965517241
obligation	obligations	16	21	0.567567567568
item	items	55	71	0.563492063492
publisher	publishers	7	9	0.5625
reservation	reservations	7	9	0.5625
ear	ears	29	37	0.560606060606
organ	organs	11	14	0.56
agency	agencies	48	61	0.559633027523
card	cards	26	33	0.559322033898
branch	branches	26	33	0.559322033898
specialist	specialists	15	19	0.558823529412
submarine	submarines	15	19	0.558823529412
cell	cells	64	81	0.558620689655
emotion	emotions	34	43	0.558441558442
leg	legs	53	67	0.558333333333
arm	arms	91	115	0.558252427184
pupil	pupils	19	24	0.558139534884
mountain	mountains	27	34	0.55737704918
painting	paintings	27	34	0.55737704918
penny	pennies	4	5	0.555555555556
soybean	soybeans	4	5	0.555555555556
mouse	mice	8	10	0.555555555556
affiliation	affiliations	4	5	0.555555555556
believer	believers	4	5	0.555555555556
applicant	applicants	8	10	0.555555555556
periodical	periodicals	4	5	0.555555555556
silhouette	silhouettes	4	5	0.555555555556
psychiatrist	psychiatrists	4	5	0.555555555556
cart	carts	4	5	0.555555555556
ripple	ripples	4	5	0.555555555556
complication	complications	4	5	0.555555555556
modification	modifications	4	5	0.555555555556
greeting	greetings	4	5	0.555555555556
guerrilla	guerrillas	12	15	0.555555555556
disciple	disciples	4	5	0.555555555556
farmer	farmers	21	26	0.553191489362
suburb	suburbs	13	16	0.551724137931
instruction	instructions	26	32	0.551724137931
counterpart	counterparts	9	11	0.55
servant	servants	18	22	0.55
deduction	deductions	9	11	0.55
mill	mills	9	11	0.55
event	events	81	99	0.55
cop	cops	14	17	0.548387096774
dealer	dealers	24	29	0.547169811321
moral	morals	5	6	0.545454545455
predecessor	predecessors	5	6	0.545454545455
gallon	gallons	5	6	0.545454545455
ant	ants	5	6	0.545454545455
contemporary	contemporaries	5	6	0.545454545455
airfield	airfields	5	6	0.545454545455
